gene	accession	hmmsource
ALP	1	fungene
BPP	2	fungene
HAP	3	fungene
NC10	4	fungene
PAP	5	fungene
PPK	6	fungene
PTP	7	fungene
add1	8	fungene
add2	9	fungene
alp_new	10	fungene
amiE	11	fungene
amoA_AOA	12	fungene
amoA_AOB	13	fungene
amoA_AOB_like	14	fungene
amoA_comammox	15	fungene
anfD	16	fungene
ansA	17	fungene
apr	18	fungene
aspA	19	fungene
buk	20	fungene
but	21	fungene
cbh1	22	fungene
chb	23	fungene
chiA	24	fungene
col	25	fungene
cooS	26	fungene
cpg	27	fungene
cbdA	28	fungene
dsrA	29	fungene
dsrB	30	fungene
exc1	31	fungene
cbb3	32	fungene
glsA	33	fungene
glx	34	fungene
hutH	35	fungene
hydA	36	fungene
lcc_ascomycetes	37	fungene
lcc_basidiomycetes	38	fungene
ligE	39	fungene
lip	40	fungene
mcrA	41	fungene
mmoX	42	fungene
mnp	43	fungene
nag3	44	fungene
nagZ	45	fungene
napA	46	fungene
narG	47	fungene
nifD	48	fungene
nifH_new	49	fungene
nirA	50	fungene
nirB	51	fungene
nirK	52	fungene
nirS	53	fungene
norB	54	fungene
nosZ	55	fungene
nosZ_atypical_1	56	fungene
nosZ_atypical_2	57	fungene
npr	58	fungene
nrfA	59	fungene
nrfA_Welsh	60	fungene
nxrA_nitrobacter	61	fungene
nxrB	62	fungene
nxrB_nitrobacter	63	fungene
nxrB_nitrospira	64	fungene
p450nor	65	fungene
pXMO_like	66	fungene
pepA	67	fungene
pepN	68	fungene
phnX	69	fungene
phoD	70	fungene
pmoA	71	fungene
pmoA_type1	72	fungene
pmoA_type1a	73	fungene
pmoA_type1c	74	fungene
pmoA_type2	75	fungene
pmoA_type2a	76	fungene
pmoA_type2b	77	fungene
pmoA_type3a	78	fungene
pmoA_type3b	79	fungene
ppo	80	fungene
pxmA1	81	fungene
rocF	82	fungene
scd2	83	fungene
smmoX	84	fungene
soxB	85	fungene
sub	86	fungene
trp	88	fungene
ureC	89	fungene
vnfD	90	fungene
vnfD_anfD	91	fungene
vp1	92	fungene
xylA	93	fungene
